,,data,Edward_II_Marlowe.tok,Hamlet_Shakespeare.tok,Henry_VI_Part1_Shakespeare.tok,Henry_VI_Part2_Shakespeare.tok,Jew_of_Malta_Marlowe.tok,Richard_II_Shakespeare.tok
l,7,4,0.24145620243346794,0.22964981061864503,0.22097378277153581,0.23582113430925486,0.22552516845025747,0.2342887902032034
l,8,5,0.11866789471132905,0.11063858063658677,0.12288436922201733,0.12538996880249495,0.11386671196421484,0.12793253487641915
l,9,6,0.07368267972272095,0.07551996810419248,0.08249182193144675,0.0690744740420767,0.07004133401279693,0.07643654958955771
l,10,7,0.055795239711086596,0.05485414313243337,0.06428673019485134,0.05595552355811566,0.0588301908159226,0.0595702686942093
l,11,8,0.0408648019777983,0.029570071101069944,0.040202910918314176,0.0360371170306377,0.033293697978597075,0.028843134616247396
l,12,9,0.01827524358912212,0.01807429065054163,0.023467501066704657,0.02035837133029361,0.018968348338146198,0.018436280446777083
l,13,14,,0.0004651471858595254,0.0002844545583842981,0.00043996480281577473,0.00045297548270199875,0.0010317139909388597
l,14,15,,0.00016612399494983057,0.00018963637225619874,0.00047996160307175426,,0.0005831426905306598
l,15,16,,0.00016612399494983057,,0.00011999040076793855,,4.485713004081999e-05
l,16,17,,9.967439696989834e-05,4.7409093064049684e-05,,,4.485713004081999e-05
l,17,19,,6.644959797993223e-05,,,,
l,18,27,,3.3224798989966113e-05,,,,
l,19,18,,,,3.999680025597952e-05,,
s,0,about,0.0006301808134180038,0.00059804638181939,0.0005215000237045465,0.00031997440204783615,0.0009059509654039975,0.00017942852016327997
s,1,above,9.695089437200058e-05,0.00013289919595986445,0.00014222727919214906,0.0001999840012798976,0.00016986580601324953,8.971426008163998e-05
s,2,after,9.695089437200058e-05,0.00043192238686955945,0.0003318636514483478,0.0003999680025597952,0.00039635354736424893,0.0004037141703673799
s,3,again,0.0009695089437200058,0.0010299687686889493,0.000758545489024795,0.00083993280537557,0.00039635354736424893,0.0010317139909388597
s,4,against,0.0010664598380920065,0.0007641703767692205,0.0006637273028966956,0.0006799456043516519,0.00045297548270199875,0.0016148566814695195
s,5,all,0.004314314799554026,0.0037211774868762043,0.003745318352059925,0.005479561635069194,0.004642998697695487,0.004620284394204459
s,6,almost,9.695089437200058e-05,0.0003322479898996611,0.00014222727919214906,7.999360051195904e-05,0.00011324387067549969,
s,7,alone,0.00024237723593000145,0.000299023190909695,0.00023704546532024842,0.00015998720102391808,0.00039635354736424893,0.00013457139012245997
s,8,along,9.695089437200058e-05,9.967439696989833e-05,9.481818612809937e-05,0.00011999040076793856,0.00016986580601324953,0.00013457139012245997
s,9,already,4.847544718600029e-05,0.00019934879393979665,0.00014222727919214906,0.00011999040076793856,,0.00013457139012245997
s,10,always,4.847544718600029e-05,3.3224798989966113e-05,0.00014222727919214906,3.999680025597952e-05,0.00016986580601324953,8.971426008163998e-05
s,11,among,0.00014542634155800086,3.3224798989966113e-05,0.00014222727919214906,,0.00011324387067549969,
s,12,an,0.0006301808134180038,0.0018605887434381021,0.0009955909543450433,0.0019598432125429964,0.001075816771417247,0.0013457139012245996
s,13,and,0.03558097823452421,0.029835869492989567,0.031858910539041385,0.03467722582193424,0.035332087650755906,0.031175705378369892
s,14,another,0.00024237723593000145,0.0003322479898996611,0.0003318636514483478,0.00015998720102391808,0.00033973161202649905,0.00017942852016327997
s,15,any,0.0005332299190460032,0.0005648215828294239,0.0009955909543450433,0.0007599392048636109,0.00045297548270199875,0.0006279998205714799
s,16,anything,4.847544718600029e-05,,,3.999680025597952e-05,0.00011324387067549969,
s,17,are,0.003005477725532018,0.004352448667685561,0.003460863793675627,0.0034797216222702183,0.004133401279655739,0.003723141793388059
s,18,as,0.006204857239808037,0.0073426805767825105,0.005452045702365713,0.0069594432445404366,0.006001925145801484,0.006279998205714799
s,19,ask,9.695089437200058e-05,6.644959797993223e-05,0.00014222727919214906,0.00027997760179185663,0.00011324387067549969,0.00017942852016327997
s,20,at,0.003150904067090019,0.0027908831151571534,0.0029393637699710803,0.002679785617150628,0.0034539380556027404,0.0026465706724083794
s,21,away,0.002666149595230016,0.0007973951757591866,0.0010904091404731427,0.0022798176145908326,0.0011890606420927466,0.0011662853810613196
